"unit_id","yr","surveyed","detected","value","history"
29127,2018,NA,1,NA,"mammal_all"
29388,2023,NA,1,NA,"mammal_all"
29545,2015,NA,1,NA,"mammal_all"
29584,2020,NA,1,NA,"mammal_all"
29756,2017,NA,1,NA,"mammal_all"
29756,2026,NA,1,NA,"mammal_all"
34926,2019,NA,1,NA,"mammal_all"
35030,2025,NA,1,NA,"mammal_all"
35076,2022,NA,1,NA,"mammal_all"
42002,2015,NA,1,NA,"mammal_all"
44005,2021,NA,1,NA,"mammal_all"
44457,2025,NA,1,NA,"mammal_all"
44706,2023,NA,1,NA,"mammal_all"
44925,2025,NA,1,NA,"mammal_all"
44934,2025,NA,1,NA,"mammal_all"
45375,2013,NA,1,NA,"mammal_all"
45467,2017,NA,1,NA,"mammal_all"
47060,2018,NA,1,NA,"mammal_all"
47060,2020,NA,1,NA,"mammal_all"
47060,2021,NA,1,NA,"mammal_all"
47060,2022,NA,1,NA,"mammal_all"
47147,2026,NA,1,NA,"mammal_all"
47347,2018,NA,1,NA,"mammal_all"
47527,2015,NA,1,NA,"mammal_all"
47580,2016,NA,1,NA,"mammal_all"
47580,2017,NA,1,NA,"mammal_all"
47666,2024,NA,1,NA,"mammal_all"
47697,2025,NA,1,NA,"mammal_all"
47847,2020,NA,1,NA,"mammal_all"
47848,2024,NA,1,NA,"mammal_all"
48561,2023,NA,1,NA,"mammal_all"
48974,2011,NA,1,NA,"mammal_all"
49050,2018,NA,1,NA,"mammal_all"
49549,2023,NA,1,NA,"mammal_all"
49809,2016,NA,1,NA,"mammal_all"
50471,2020,NA,1,NA,"mammal_all"
50479,2018,NA,1,NA,"mammal_all"
50523,2025,NA,1,NA,"mammal_all"
50854,2024,NA,1,NA,"mammal_all"
50873,2019,NA,1,NA,"mammal_all"
50873,2022,NA,1,NA,"mammal_all"
51003,2020,NA,1,NA,"mammal_all"
51415,2021,NA,1,NA,"mammal_all"
51739,2023,NA,1,NA,"mammal_all"
51745,2019,NA,1,NA,"mammal_all"
51769,2017,NA,1,NA,"mammal_all"
52219,2023,NA,1,NA,"mammal_all"
53048,2024,NA,1,NA,"mammal_all"
53049,2018,NA,1,NA,"mammal_all"
53055,2020,NA,1,NA,"mammal_all"
53055,2023,NA,1,NA,"mammal_all"
53062,2025,NA,1,NA,"mammal_all"
5385,2020,NA,1,NA,"vertebrate_precise"
16095,2017,NA,1,NA,"vertebrate_precise"
29756,2017,NA,1,NA,"vertebrate_precise"
29756,2026,NA,1,NA,"vertebrate_precise"
35076,2022,NA,1,NA,"vertebrate_precise"
44457,2025,NA,1,NA,"vertebrate_precise"
1750,2022,NA,1,NA,"vertebrate_all"
1750,2023,NA,1,NA,"vertebrate_all"
3979,2017,NA,1,NA,"vertebrate_all"
3979,2022,NA,1,NA,"vertebrate_all"
5385,2020,NA,1,NA,"vertebrate_all"
15980,2017,NA,1,NA,"vertebrate_all"
16095,2017,NA,1,NA,"vertebrate_all"
23019,2016,NA,1,NA,"vertebrate_all"
23019,2021,NA,1,NA,"vertebrate_all"
26058,2021,NA,1,NA,"vertebrate_all"
29756,2017,NA,1,NA,"vertebrate_all"
29756,2026,NA,1,NA,"vertebrate_all"
35030,2025,NA,1,NA,"vertebrate_all"
35076,2022,NA,1,NA,"vertebrate_all"
44457,2025,NA,1,NA,"vertebrate_all"
47060,2018,NA,1,NA,"vertebrate_all"
47060,2020,NA,1,NA,"vertebrate_all"
47347,2018,NA,1,NA,"vertebrate_all"
47847,2020,NA,1,NA,"vertebrate_all"
47848,2024,NA,1,NA,"vertebrate_all"
49050,2018,NA,1,NA,"vertebrate_all"
